公司名称,公司类型,融资阶段,标签,公司规模,公司所在地,职位类型,学历要求,福利,薪资,工作经验
上海触乐信息科技有限公司,"移动互联网,数据服务",D轮及以上,"['管理扁平', '发展空间大', '行业独角兽', '带薪年假病假']",150-500人,天河区,开发/测试/运维类,本科,"行业独角兽,牛人团队,成长空间大,福利待遇佳",15k-25k,1-3年
广州探迹科技有限公司,"数据服务,企业服务",B轮,"['B2B销售', '精准营销', '大数据', '人工智能']",50-150人,番禺区,技术,本科,大数据AI 扁平管理 五险一金 期权激励,10k-20k,1-3年
信必优(深圳)信息技术有限公司,"移动互联网,电子商务",未融资,"['节日礼物', '年底双薪', '带薪年假', '年度旅游']",2000人以上,天河区,开发/测试/运维类,本科,"周末双休,五险一金,商业保险,年终奖金",16k-25k,5-10年
广东修炼科技股份有限公司,移动互联网,不需要融资,"['股票期权', '弹性工作', '美女多', '扁平管理']",50-150人,天河区,开发/测试/运维类,大专,"周末双休,地铁双轨,环境好,气氛好",2k-4k,1年以下
广州嘉为科技咨询有限公司,"企业服务 ,数据服务",未融资,"['年底双薪', '技能培训', '绩效奖金', '年度旅游']",150-500人,天河区,开发/测试/运维类,本科,"时间自由,系统学习",15k-25k,1-3年
广州小成信息科技有限公司,"其他,企业服务",不需要融资,"['年底双薪', '带薪年假', '专项奖金']",50-150人,天河区,开发/测试/运维类,大专,"五险,双休,下午茶,办公环境好",10k-15k,3-5年
武汉佰钧成技术有限责任公司,移动互联网,不需要融资,"['带薪年假', '计算机软件', '管理规范', '定期体检']",2000人以上,天河区,产品/需求/项目类,不限,"薪资丰厚,前沿技术,福利齐全",15k-25k,5-10年
江苏传智播客教育科技有限公司广州分公司,教育,上市公司,[],150-500人,天河区,其他,大专,"五险一金,年终奖金,带薪年假,公费旅游",17k-30k,3-5年
广州智干电子商务科技有限公司,电子商务,未融资,"['绩效奖金', '定期体检', '带薪年假', '节日礼物']",150-500人,海珠区,开发/测试/运维类,本科,"五险一金,定期体检,免费下午茶,定期旅游",10k-15k,1-3年
广州极推信息科技有限公司,"移动互联网,广告营销",天使轮,"['绩效奖金', '午餐补助', '带薪年假', '美女多']",15-50人,海珠区,开发/测试/运维类,本科,"有技术大牛,地铁口上班,餐补,办公零食",3k-5k,1年以下
上海承泰信息科技股份有限公司,"信息安全,数据服务",C轮,"['帅哥多', '扁平管理', '技能培训', '五险一金']",150-500人,天河区,开发/测试/运维类,本科,"节日福利,餐补,交通补贴,带薪年假",10k-20k,1-3年
广州市云润大数据服务有限公司,"数据服务,移动互联网",A轮,[],150-500人,天河区,开发/测试/运维类,大专,"周末双休,五险一金,带薪年假,晋升岗位",5k-10k,1-3年
万惠投资管理有限公司,金融,上市公司,"['互联网金融', '技能培训', '带薪年假', '充满挑战']",500-2000人,天河区,开发/测试/运维类,本科,"带薪年假,午餐,大牛团队",10k-20k,3-5年
广东咏声动漫股份有限公司,文化娱乐,上市公司,[],150-500人,越秀区,开发/测试/运维类,不限,"发展空间大,福利好",10k-16k,3-5年
广东昱辉通信技术有限公司,移动互联网,未融资,"['年底双薪', '带薪年假', '定期体检', '年度旅游']",150-500人,越秀区,开发/测试/运维类,大专,"节日福利,周末双休,年度体检,年度旅游",10k-20k,1-3年
广东紫晶信息存储技术股份有限公司,"数据服务,其他",上市公司,"['五险一金', '工龄工资', '上市公司']",150-500人,番禺区,开发/测试/运维类,大专,"周末双休,出国机会,五险一金,提供饭餐",8k-15k,1-3年
广州一一科技有限公司,"移动互联网,企业服务",不需要融资,"['年底双薪', '绩效奖金', '弹性工作', '扁平管理']",15-50人,荔湾区,开发/测试/运维类,不限,"双休,自由,项目奖金,环境舒适",15K-30K,3-5年
广州嘉为科技咨询有限公司,"企业服务 ,数据服务",未融资,"['年底双薪', '技能培训', '绩效奖金', '年度旅游']",150-500人,天河区,开发/测试/运维类,本科,公司发展好,13k-20k,3-5年
广州探迹科技有限公司,"数据服务,企业服务",B轮,"['B2B销售', '精准营销', '大数据', '人工智能']",50-150人,番禺区,技术,本科,"大数据AI,扁平管理,五险一金,期权激励",15k-30k,3-5年
北京启明星辰信息安全技术有限公司,信息安全,上市公司,"['绩效奖金', '专项奖金', '五险一金', '带薪年假']",500-2000人,天河区,开发/测试/运维类,本科,"弹性工作,周末双休,节日福利,餐补",10k-15k,3-5年
广东省南方数字电视无线传播有限公司,"移动互联网,数据服务",不需要融资,"['年底双薪', '专项奖金', '股票期权', '年终分红']",50-150人,越秀区,开发/测试/运维类,大专,"五险一金,周末双休,定期体检,年终奖",12k-18k,1-3年
广州胖虾网络科技有限公司,"移动互联网,电子商务",不需要融资,"['""""']",50-150人,海珠区,开发/测试/运维类,大专,"周末双休,五险一金,节日福利,房补餐补",8k-10k,应届毕业生
广州稻禾信息科技有限公司,"企业服务,移动互联网",不需要融资,"['弹性工作', '领导好', '技能培训', '五险一金']",15-50人,番禺区,开发/测试/运维类,不限,"福利好,领导好,氛围好,地铁口",4k-8k,不限
广州市派客朴食信息科技有限责任公司,"移动互联网,电子商务",不需要融资,[],15-50人,海珠区,开发/测试/运维类,不限,"五险一金,包住,福利好,工作环境好",7k-14k,1-3年
广州市骑鹅游信息技术咨询服务有限公司,"旅游,数据服务",A轮,"['绩效奖金', '年度旅游', '扁平管理', '管理规范']",50-150人,海珠区,技术,不限,15天有薪年假 五险一金,10k以上,1-3年
